Section,Sub Section,Content,Content Token Count
1 - Overview,default,"Kubernetes is a portable, extensible, open source platform for managing containerized workloads and services, that facilitates both declarative configuration and automation. It has a large, rapidly growing ecosystem. Kubernetes services, support, and tools are widely available. This page is an overview of Kubernetes. Kubernetes is a portable, extensible, open source platform for managing containerizedworkloads and services, that facilitates both declarative configuration and automation.It has a large, rapidly growing ecosystem. Kubernetes services, support, and tools are widely available. The name Kubernetes originates from Greek, meaning helmsman or pilot. K8s as an abbreviationresults from counting the eight letters between the ""K"" and the ""s"". Google open-sourced theKubernetes project in 2014. Kubernetes combinesover 15 years of Google's experience runningproduction workloads at scale with best-of-breed ideas and practices from the community.",210
1 - Overview,Going back in time,"Going back in time Let's take a look at why Kubernetes is so useful by going back in time.  Traditional deployment era:Early on, organizations ran applications on physical servers. There was no way to defineresource boundaries for applications in a physical server, and this caused resourceallocation issues. For example, if multiple applications run on a physical server, therecan be instances where one application would take up most of the resources, and as a result,the other applications would underperform. A solution for this would be to run each applicationon a different physical server. But this did not scale as resources were underutilized, and itwas expensive for organizations to maintain many physical servers. Virtualized deployment era: As a solution, virtualization was introduced. It allows youto run multiple Virtual Machines (VMs) on a single physical server's CPU. Virtualizationallows applications to be isolated between VMs and provides a level of security as theinformation of one application cannot be freely accessed by another application. Virtualization allows better utilization of resources in a physical server and allowsbetter scalability because an application can be added or updated easily, reduceshardware costs, and much more. With virtualization you can present a set of physicalresources as a cluster of disposable virtual machines. Each VM is a full machine running all the components, including its own operatingsystem, on top of the virtualized hardware. Container deployment era: Containers are similar to VMs, but they have relaxedisolation properties to share the Operating System (OS) among the applications.Therefore, containers are considered lightweight. Similar to a VM, a containerhas its own filesystem, share of CPU, memory, process space, and more. As theyare decoupled from the underlying infrastructure, they are portable across cloudsand OS distributions. Containers have become popular because they provide extra benefits, such as: Agile application creation and deployment: increased ease and efficiency ofcontainer image creation compared to VM image use.Continuous development, integration, and deployment: provides for reliableand frequent container image build and deployment with quick and efficientrollbacks (due to image immutability).Dev and Ops separation of concerns: create application container images atbuild/release time rather than deployment time, thereby decouplingapplications from infrastructure.Observability: not only surfaces OS-level information and metrics, but alsoapplication health and other signals.Environmental consistency across development, testing, and production: runsthe same on a laptop as it does in the cloud.Cloud and OS distribution portability: runs on Ubuntu, RHEL, CoreOS, on-premises,on major public clouds, and anywhere else.Application-centric management: raises the level of abstraction from running anOS on virtual hardware to running an application on an OS using logical resources.Loosely coupled, distributed, elastic, liberated micro-services: applications arebroken into smaller, independent pieces and can be deployed and managed dynamically –not a monolithic stack running on one big single-purpose machine.Resource isolation: predictable application performance.Resource utilization: high efficiency and density.",632
1 - Overview,Why you need Kubernetes and what it can do,"Why you need Kubernetes and what it can do Containers are a good way to bundle and run your applications. In a productionenvironment, you need to manage the containers that run the applications andensure that there is no downtime. For example, if a container goes down, anothercontainer needs to start. Wouldn't it be easier if this behavior was handled by a system? That's how Kubernetes comes to the rescue! Kubernetes provides you with a frameworkto run distributed systems resiliently. It takes care of scaling and failover foryour application, provides deployment patterns, and more. For example: Kubernetescan easily manage a canary deployment for your system. Kubernetes provides you with: Service discovery and load balancingKubernetes can expose a container using the DNS name or using their own IP address.If traffic to a container is high, Kubernetes is able to load balance and distributethe network traffic so that the deployment is stable.Storage orchestrationKubernetes allows you to automatically mount a storage system of your choice, such aslocal storages, public cloud providers, and more.Automated rollouts and rollbacksYou can describe the desired state for your deployed containers using Kubernetes,and it can change the actual state to the desired state at a controlled rate.For example, you can automate Kubernetes to create new containers for yourdeployment, remove existing containers and adopt all their resources to the new container.Automatic bin packingYou provide Kubernetes with a cluster of nodes that it can use to run containerized tasks.You tell Kubernetes how much CPU and memory (RAM) each container needs. Kubernetes can fitcontainers onto your nodes to make the best use of your resources.Self-healingKubernetes restarts containers that fail, replaces containers, kills containers that don'trespond to your user-defined health check, and doesn't advertise them to clients until theyare ready to serve.Secret and configuration managementKubernetes lets you store and manage sensitive information, such as passwords, OAuth tokens,and SSH keys. You can deploy and update secrets and application configuration withoutrebuilding your container images, and without exposing secrets in your stack configuration.",470
1 - Overview,What Kubernetes is not,"What Kubernetes is not Kubernetes is not a traditional, all-inclusive PaaS (Platform as a Service) system.Since Kubernetes operates at the container level rather than at the hardware level,it provides some generally applicable features common to PaaS offerings, such asdeployment, scaling, load balancing, and lets users integrate their logging, monitoring,and alerting solutions. However, Kubernetes is not monolithic, and these default solutionsare optional and pluggable. Kubernetes provides the building blocks for building developerplatforms, but preserves user choice and flexibility where it is important. Kubernetes: Does not limit the types of applications supported. Kubernetes aims to support anextremely diverse variety of workloads, including stateless, stateful, and data-processingworkloads. If an application can run in a container, it should run great on Kubernetes.Does not deploy source code and does not build your application. Continuous Integration,Delivery, and Deployment (CI/CD) workflows are determined by organization cultures andpreferences as well as technical requirements.Does not provide application-level services, such as middleware (for example, message buses),data-processing frameworks (for example, Spark), databases (for example, MySQL), caches, norcluster storage systems (for example, Ceph) as built-in services. Such components can run onKubernetes, and/or can be accessed by applications running on Kubernetes through portablemechanisms, such as the Open Service Broker.Does not dictate logging, monitoring, or alerting solutions. It provides some integrationsas proof of concept, and mechanisms to collect and export metrics.Does not provide nor mandate a configuration language/system (for example, Jsonnet). It providesa declarative API that may be targeted by arbitrary forms of declarative specifications.Does not provide nor adopt any comprehensive machine configuration, maintenance, management,or self-healing systems.Additionally, Kubernetes is not a mere orchestration system. In fact, it eliminates the needfor orchestration. The technical definition of orchestration is execution of a defined workflow:first do A, then B, then C. In contrast, Kubernetes comprises a set of independent, composablecontrol processes that continuously drive the current state towards the provided desired state.It shouldn't matter how you get from A to C. Centralized control is also not required. Thisresults in a system that is easier to use and more powerful, robust, resilient, and extensible. Take a look at the Kubernetes ComponentsTake a look at the The Kubernetes APITake a look at the Cluster ArchitectureReady to Get Started?",573
1.1 - Kubernetes Components,default,"A Kubernetes cluster consists of the components that are a part of the control plane and a set of machines called nodes. When you deploy Kubernetes, you get a cluster.A Kubernetes cluster consists of a set of worker machines, called nodes,that run containerized applications. Every cluster has at least one worker node.The worker node(s) host the Pods that arethe components of the application workload. Thecontrol plane manages the workernodes and the Pods in the cluster. In production environments, the control plane usuallyruns across multiple computers and a cluster usually runs multiple nodes, providingfault-tolerance and high availability. This document outlines the various components you need to have fora complete and working Kubernetes cluster. The components of a Kubernetes cluster",166
1.1 - Kubernetes Components,Control Plane Components,"Control Plane Components The control plane's components make global decisions about the cluster (for example, scheduling), as well as detecting and responding to cluster events (for example, starting up a new pod when a deployment's replicas field is unsatisfied). Control plane components can be run on any machine in the cluster. However,for simplicity, set up scripts typically start all control plane components onthe same machine, and do not run user containers on this machine. SeeCreating Highly Available clusters with kubeadmfor an example control plane setup that runs across multiple machines.",113
1.1 - Kubernetes Components,kube-apiserver,"kube-apiserver The API server is a component of the Kubernetescontrol plane that exposes the Kubernetes API.The API server is the front end for the Kubernetes control plane. The main implementation of a Kubernetes API server is kube-apiserver.kube-apiserver is designed to scale horizontally—that is, it scales by deploying more instances.You can run several instances of kube-apiserver and balance traffic between those instances.",105
1.1 - Kubernetes Components,etcd,"etcd Consistent and highly-available key value store used as Kubernetes' backing store for all cluster data. If your Kubernetes cluster uses etcd as its backing store, make sure you have aback up planfor those data. You can find in-depth information about etcd in the official documentation.",66
1.1 - Kubernetes Components,kube-scheduler,"kube-scheduler Control plane component that watches for newly createdPods with no assignednode, and selects a node for themto run on. Factors taken into account for scheduling decisions include:individual and collective resource requirements, hardware/software/policyconstraints, affinity and anti-affinity specifications, data locality,inter-workload interference, and deadlines.",75
1.1 - Kubernetes Components,kube-controller-manager,"kube-controller-manager Control plane component that runs controller processes. Logically, each controller is a separate process, but to reduce complexity, they are all compiled into a single binary and run in a single process. Some types of these controllers are: Node controller: Responsible for noticing and responding when nodes go down.Job controller: Watches for Job objects that represent one-off tasks, then createsPods to run those tasks to completion.EndpointSlice controller: Populates EndpointSlice objects (to provide a link between Services and Pods).ServiceAccount controller: Create default ServiceAccounts for new namespaces.",129
1.1 - Kubernetes Components,cloud-controller-manager,"cloud-controller-manager control plane The cloud-controller-manager only runs controllers that are specific to your cloud provider.If you are running Kubernetes on your own premises, or in a learning environment inside yourown PC, the cluster does not have a cloud controller manager. As with the kube-controller-manager, the cloud-controller-manager combines several logicallyindependent control loops into a single binary that you run as a single process. You canscale horizontally (run more than one copy) to improve performance or to help tolerate failures. The following controllers can have cloud provider dependencies: Node controller: For checking the cloud provider to determine if a node has been deleted in the cloud after it stops respondingRoute controller: For setting up routes in the underlying cloud infrastructureService controller: For creating, updating and deleting cloud provider load balancers",169
1.1 - Kubernetes Components,kubelet,kubelet An agent that runs on each node in the cluster. It makes sure that containers are running in a Pod. The kubelet takes a set of PodSpecs that are provided through various mechanisms and ensures that the containers described in those PodSpecs are running and healthy. The kubelet doesn't manage containers which were not created by Kubernetes.,76
1.1 - Kubernetes Components,kube-proxy,"kube-proxy kube-proxy is a network proxy that runs on eachnode in your cluster,implementing part of the KubernetesService concept. kube-proxymaintains network rules on nodes. These network rules allow networkcommunication to your Pods from network sessions inside or outside ofyour cluster. kube-proxy uses the operating system packet filtering layer if there is oneand it's available. Otherwise, kube-proxy forwards the traffic itself.",98
1.1 - Kubernetes Components,Container runtime,"Container runtime The container runtime is the software that is responsible for running containers. Kubernetes supports container runtimes such ascontainerd, CRI-O,and any other implementation of the Kubernetes CRI (Container RuntimeInterface).",50
1.1 - Kubernetes Components,Addons,"Addons Addons use Kubernetes resources (DaemonSet,Deployment, etc)to implement cluster features. Because these are providing cluster-level features, namespaced resourcesfor addons belong within the kube-system namespace. Selected addons are described below; for an extended list of available addons, pleasesee Addons.",71
1.1 - Kubernetes Components,DNS,"DNS While the other addons are not strictly required, all Kubernetes clusters should have cluster DNS, as many examples rely on it. Cluster DNS is a DNS server, in addition to the other DNS server(s) in your environment, which serves DNS records for Kubernetes services. Containers started by Kubernetes automatically include this DNS server in their DNS searches.",80
1.1 - Kubernetes Components,Web UI (Dashboard),"Web UI (Dashboard) Dashboard is a general purpose, web-based UI for Kubernetes clusters. It allows users to manage and troubleshoot applications running in the cluster, as well as the cluster itself.",46
1.1 - Kubernetes Components,Cluster-level Logging,Cluster-level Logging A cluster-level logging mechanism is responsible forsaving container logs to a central log store with search/browsing interface. Learn about NodesLearn about ControllersLearn about kube-schedulerRead etcd's official documentation,53
1.2 - The Kubernetes API,default,"The Kubernetes API lets you query and manipulate the state of objects in Kubernetes. The core of Kubernetes' control plane is the API server and the HTTP API that it exposes. Users, the different parts of your cluster, and external components all communicate with one another through the API server. The core of Kubernetes' control planeis the API server. The API serverexposes an HTTP API that lets end users, different parts of your cluster, andexternal components communicate with one another. The Kubernetes API lets you query and manipulate the state of API objects in Kubernetes(for example: Pods, Namespaces, ConfigMaps, and Events). Most operations can be performed through thekubectl command-line interface or othercommand-line tools, such askubeadm, which in turn use theAPI. However, you can also access the API directly using REST calls. Consider using one of the client librariesif you are writing an application using the Kubernetes API.",214
